description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12,SFA,MUFA,PUFA
Vegetable Salad,48.72,0.85,0.18,10.39,48.35,13.37,16.8,0.35,0.17,121.89,13.37,0,0.22,5.36,0.05,0.03,0.46,0.1,0,0.04,0.02,0.06
Beans Curry,48.33,2.27,2.07,4.31,555.31,32.28,44.91,1.2,0.38,31.98,11.66,0.85,0.38,7.72,0.05,0.04,0.53,0.24,0,1.3,0.46,0.23
Beetroot Curry,63.47,1.65,3.4,5.14,845.57,16.06,25.23,1.1,0.32,40.23,10.05,0.97,1.22,4.1,0.03,0.05,0.49,0.12,0,2.56,0.47,0.34
Brinjal Curry,49.45,1.27,2.43,3.78,516.9,11.96,18.49,0.49,0.2,16.4,7.43,0.31,0.7,4.04,0.03,0.03,0.48,0.1,0,1.85,0.33,0.19
Vegetable Soup,38,1.78,0.87,4.98,239,12,14,0.48,0.18,37,6.3,0,0.21,16.9,0.04,0.04,0.94,0.08,0.04,0.17,0.33,0.31
Carrot Curry,126.4,4.84,2.95,18.79,385.06,13.54,24.55,0.72,0.29,90.56,3.78,0.24,0.22,8.37,0.04,0.06,0.37,0.09,0.08,1.85,0.47,0.31
Stir Fried Water Spinach (Kankun),110.53,1.38,7.67,6.03,638.37,17.01,55.36,1.07,0.44,"1,049.10",6.79,0,0.27,54.95,0.05,0.06,1.38,0.41,0,6.19,0.47,0.22
Mushroom Tempered,103.82,3.49,6.1,6.49,669.58,22.68,19.33,1.36,0.74,3.58,11.81,0.52,0.11,0.8,0.12,0.28,3.81,0.17,0,4.48,0.62,0.31
Okra White Curry,71.36,1.82,4.69,3.92,794.45,28.67,47.88,1.4,0.42,28.44,14.45,0.44,1.03,12.08,0.08,0.04,0.57,0.15,0,3.42,0.62,0.3
Cabbage White Curry,56.62,1.79,2.56,4.97,422.02,14.94,44.14,0.78,0.28,18.08,30.82,0.35,0.71,53.55,0.06,0.05,0.36,0.16,0,1.91,0.4,0.2
Pumpkin Curry,39.86,1.21,1.32,5.61,368.75,12.68,26.83,0.88,0.3,263.51,8.6,0,0.96,2.39,0.04,0.08,0.44,0.08,0,0.99,0.23,0.08
"Ash Plantain, White Curry",73.9,2.31,2.44,9.92,318.05,7.19,14.61,0.61,0.14,0.84,4.55,0,0.38,9.47,0.01,0.02,1.3,0.08,0,1.78,0.4,0.19
Kohila Curry,56.2,1.39,3.13,5.19,900.56,21.39,41.2,1.01,0.79,17.06,6.4,0.4,0.79,5.18,0.02,0.03,0.54,0.14,0,2.25,0.42,0.34
Drumstick (Muranga) Curry,52.28,1.78,2.3,4.89,559.62,27.23,27.08,0.56,0.32,2.07,73.44,0,0.2,0.85,0.04,0.05,0.38,0.1,0,1.82,0.31,0.1
Leeks Curry,90.03,1.63,5.33,8.06,451.72,18.33,39.21,1.23,0.22,52.18,12.65,0.42,0.93,20.28,0.05,0.03,0.42,0.18,0,4.14,0.57,0.33
Bittergourd Curry,86.4,1.64,6.5,3.81,712.77,16.04,28.54,0.75,0.53,36,42.03,0.53,0.82,3.48,0.04,0.04,0.49,0.12,0,5.08,0.71,0.33
Radish Curry,47.84,1.16,2.62,3.73,815.71,10.24,26.46,0.62,0.26,13.43,14.49,0.31,0.46,2.43,0.02,0.04,0.29,0.1,0,2.11,0.33,0.18
Snakegourd Curry,50.14,1.41,2.91,3.87,562.59,17.55,28.44,0.84,0.18,5.56,7.51,0.35,0.25,7.95,0.04,0.03,0.23,0.13,0,2.32,0.35,0.13
Mushroom Curry,57.13,3.08,2.07,5.2,470.27,18.9,21.26,1.46,0.66,22.96,8.39,0.96,0.77,2.82,0.1,0.25,3.38,0.16,0,1.34,0.29,0.26
Tomato Salad,29.23,1.06,0.17,5.33,410.03,12.13,18.25,0.35,0.18,24.87,27.7,0,0.33,5.84,0.04,0.03,0.41,0.11,0,0.04,0.02,0.06
Mixed Boiled Vegetables,34.81,1.39,0.17,5.72,35.86,17.58,30.9,0.71,0.28,279.72,13.87,0,0.5,27.56,0.06,0.07,0.6,0.11,0,0.04,0.02,0.06
Vegetable Chop Suey,62.88,1.66,1.44,9.85,319.35,20.35,33.92,0.5,0.3,114.25,13.84,0.24,0.15,17.36,0.06,0.03,0.55,0.16,0,0.96,0.13,0.16
"Beetroot, Boiled",44.33,1.66,0.18,6.97,80.41,23.71,16.49,0.82,0.36,2.06,5.05,0,0.04,0.21,0.03,0.04,0.34,0.07,0,0.03,0.03,0.06
"Carrot, Boiled",43.62,0.99,0.26,7.21,73.4,12.77,35.11,0.32,0.26,888.3,6.28,0,0.7,14.04,0.07,0.06,1.05,0.15,0,0.03,0.01,0.11
"Okra, Boiled",39.29,2.3,0.23,5.06,8.33,67.86,97.62,0.74,0.69,42.86,27.38,0,0.32,37.26,0.24,0.07,1.19,0.26,0,0.03,0.02,0.13
"Pumpkin, Boiled",28.57,1.1,0.11,6.59,1.1,13.19,23.08,0.88,0.35,468.13,9.89,0,1.16,1.21,0.05,0.12,0.66,0.07,0,0.06,0.01,0.01
"Cabbage, Bolied",25.51,1.31,0.1,3.37,18.37,12.24,40.82,0.48,0.18,5.1,37.35,0,0.15,77.55,0.06,0.04,0.24,0.13,0,0.03,0.02,0.02
"Spinach, Boiled",23.96,2.98,0.41,1.49,82.29,82.29,103.12,2.82,0.55,488.54,29.27,0,2.11,503.12,0.08,0.2,0.75,0.2,0,0.07,0.01,0.17
"Beans, Boiled",32,1.91,0.23,4.46,6,26,39,1.07,0.25,35,10.8,0,0.43,44.8,0.08,0.1,0.73,0.13,0,0.05,0.01,0.12
"Snake Gourd, Boiled",13.25,0.99,0.3,1.51,10.55,31.13,32.33,0.49,0.13,12.54,4.27,0.95,0.14,18.9,0.05,0.04,0.37,0.14,0,0.05,0.03,0.08
Anoda,75,1.57,0.68,14.7,7,17,10,0.27,0.16,0,12.6,0.8,0.27,5.26,0.1,0.13,0.64,0.26,0,0.05,0.09,0.07
Green Apple,58,0.44,0.19,10.8,1,5,5,0.15,0.04,5,3.57,2.45,0.18,3.2,0.02,0.03,0.13,0.04,0,0.03,0.01,0.05
"Red Apple, China Fuji",63,0.2,0.18,13.1,1,5,7,0.1,0.04,2,2.9,2.1,0.18,1,0.01,0.03,0.07,0.05,0,0.03,0.01,0.05
"Red Apple, Red Delicious",59,0.27,0.2,11.8,1,5,6,0.11,0.04,3,2.9,2.1,0.24,2.6,0.01,0.03,0.08,0.03,0,0.03,0.01,0.05
"Red Apple, Royal Gala",57,0.25,0.12,11.4,1,5,7,0.12,0.05,1,2.9,2.1,0.18,1.3,0.02,0.03,0.08,0.05,0,0.03,0.01,0.05
Avocado,160,2,14.7,1.83,7,29,12,0.55,0.64,7,10,0,2.07,21,0.07,0.13,1.74,0.26,0,2.13,9.8,1.82
Bael Fruit,133,2.63,0.57,28.21,1.56,34.1,47.95,0.23,0.14,0.42,7.5,0,0,0,0.03,0.04,0.25,0.03,0,0.13,0.11,0.15
Ambul Banana,109,1.11,1.09,23.37,3.15,25.67,9.39,0.51,0.23,9.68,13.61,0.2,0.78,5.44,0.01,0.05,0.82,0.64,0,0.4,0.06,0.42
Anamalu Banana,102,1.04,0.72,22.5,2.89,27.02,8.06,1.39,0.27,16.4,3.66,0.2,0.08,3.1,0.01,0.04,1.53,0.65,0,0.26,0.06,0.25
Cavendish Banana,99,1.14,0.33,22.41,0.94,27.49,6,0.22,0.11,10.95,3.2,14.84,0.48,1.8,0.01,0.03,0.46,0.38,0,0.12,0.02,0.12
Kolikuttu Banana,107,1.38,0.34,23.92,1.13,38,8.56,0.32,0.14,8.8,7.71,0.21,0.01,1.9,0.01,0.03,0.44,0.47,0,0.11,0.03,0.13
Red Banana,111,1.29,0.29,25.21,1.11,31.44,9.56,0.24,0.09,8.76,6.74,0.2,0.08,4.67,0.01,0.02,0.46,0.45,0,0.11,0.02,0.11
Black-Purple Berries (Ma-Dang),56,0.9,0.65,10.95,1.17,34.19,26.38,0.69,0.15,8.46,19.44,0.18,0.2,58,0.01,0.02,0.41,0.07,0,0.19,0.09,0.23
Dates,282,2.45,0.39,67,2,43,39,1.02,0.29,0,0.4,0,0.05,2.7,0.05,0.07,1.27,0.17,0,0.03,0.04,0.02
Gooseberry,44,0.88,0.58,5.9,1,10,25,0.31,0.12,15,27.7,0,0.37,0,0.04,0.03,0.3,0.08,0,0.04,0.05,0.32
