description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12
"Restaurant, Latino, arepa (unleavened cornmeal bread)",916.0,5.48,5.38,37.14,270.0,27.0,89.0,1.04,0.8,61.0,0.0,0.0,0.29,3.5,0.07,0.042,0.888,0.107,0.0,2.902,1.514,0.989
"Fast foods, sundae, caramel",196.0,4.71,5.98,31.81,126.0,18.0,122.0,0.14,0.53,45.0,2.2,0.0,0.58,0.0,0.04,0.19,0.61,0.03,0.39,2.91,1.957,0.653
"Candies, fudge, chocolate, prepared-from-recipe",410.0,2.39,10.41,76.7,45.0,36.0,49.0,1.77,1.11,44.0,0.0,0.0,0.18,1.4,0.026,0.085,0.176,0.012,0.09,6.448,2.943,0.373
"Candies, toffee, prepared-from-recipe",2342.0,1.07,32.75,64.72,135.0,4.0,34.0,0.03,0.12,319.0,0.2,0.0,0.94,2.8,0.008,0.068,0.029,0.009,0.11,20.565,8.964,1.222
"Candies, marshmallows",318.0,1.8,0.2,81.3,80.0,2.0,3.0,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.078,0.003,0.0,0.056,0.08,0.047
"Candies, nougat, with almonds",1665.0,3.33,1.67,92.39,33.0,32.0,32.0,0.59,0.42,0.0,0.3,0.0,2.77,0.0,0.013,0.148,0.478,0.02,0.01,1.667,0.0,0.0
Tofu,76,8.08,4.78,1.57,7,30,350,5.36,0.8,26,0.1,0,0.01,2.4,0.08,0.05,0.19,0.05,0,0.69,1.06,2.7
Tempeh,192.0,20.29,10.8,7.64,9.0,81.0,111.0,2.7,1.14,0.0,0.0,0.0,0.0,0.0,0.078,0.358,2.64,0.215,0.08,2.539,3.205,4.3
"Seaweed, agar, dried",306.0,6.21,0.3,80.88,102.0,770.0,625.0,21.4,5.8,0.0,0.0,0.0,5.0,24.4,0.01,0.222,0.202,0.303,0.0,0.061,0.027,0.102
"Edamame, frozen, prepared",121.0,11.91,5.2,8.91,6.0,64.0,63.0,2.27,1.37,15.0,6.1,0.0,0.68,26.7,0.2,0.155,0.915,0.1,0.0,0.62,1.282,2.156
"Soup, chicken gumbo, canned, condensed",45.0,2.1,1.14,6.67,693.0,3.0,19.0,0.71,0.3,5.0,4.0,0.0,0.36,5.7,0.2,0.3,0.53,0.05,0.02,0.26,0.52,0.28
"Restaurant, Mexican, cheese quesadilla",368.0,15.93,23.08,24.11,701.0,24.0,430.0,1.52,2.16,155.0,0.0,0.0,0.61,0.0,0.223,0.323,1.973,0.075,0.99,11.559,6.362,1.971
"Chili con carne with beans, canned entree",107.0,5.8,3.47,13.1,449.0,28.0,33.0,1.34,0.89,23.0,0.2,0.0,0.5,4.6,0.019,0.029,0.782,0.105,0.28,1.253,1.412,0.4
"Spaghetti, spinach, cooked",130.0,4.58,0.63,26.15,14.0,62.0,30.0,1.04,1.08,8.0,0.0,0.0,0.0,0.0,0.097,0.103,1.53,0.096,0.0,0.091,0.072,0.257
Chicken Kottu Roti,176.36,6.45,8.17,14.48,341.82,24.74,36.43,1.17,0.59,106.15,9.29,0.3,0.93,20.6,0.07,0.11,1.89,0.21,0.11,4.36,1.88,1.15
"String Hoppers, Red",201.95,3.95,2.11,38.91,763.95,68.05,6.47,0.82,1.05,0,0,0,0.33,0,0.18,0,3.29,0.07,0,0.31,0.55,0.55
"Milk Rice, Red",114.66,2.5,2.09,21.31,267.75,8.47,1.6,0.24,0.49,0,0,0,0.02,0.71,0.14,0.01,0.28,0.03,0,1.47,0.32,0.22
Dry Fish Curry,155.03,20.3,7.02,2.01,"5,330.87",41.08,43.35,0.98,0.57,20.43,4.19,0.44,0.6,2.45,0.01,0.03,0.9,0.19,0,3.5,0.76,0.48
Prawn Curry,122.16,17.84,4.29,2.38,639.66,35.47,66.39,0.86,1.26,16.34,3.71,4.31,2.86,3.44,0.04,0.04,1.15,0.14,0,3.13,0.53,0.32
Devilled Chicken,172.29,17.04,6.34,6.43,713.52,27.33,21.25,0.57,0.63,17.5,16.65,0.14,0.67,8.41,0.1,0.15,7.16,0.7,0.17,3.95,0.79,0.45
